"entr_tag_id","entr_tag_name","logical_node","sensor_name","presentation_name","si_unit","value_type","data_type","collector_type"
"2239","WTUR.DmdVArh_Mly_Sum","WTUR.","DmdVArh_Mly_Sum","Reactive energy demand","VArh","Summation","Double","Monthly tag"
"2240","WTUR.DmdVArh_Yly_Sum","WTUR.","DmdVArh_Yly_Sum","Reactive energy demand","VArh","Summation","Double","Yearly tag"
"2241","WTUR.DmdVArSpt","WTUR.","DmdVArSpt","Turbine reactive power setpoint","VAr","Setpoint","Double","Live Value"
"2242","WTUR.DmdVArSpt_10m_Avg","WTUR.","DmdVArSpt_10m_Avg","Turbine reactive power setpoint","VAr","Average","Double","10 minute tag"
"2243","WTUR.DmdVArSpt_10m_Max","WTUR.","DmdVArSpt_10m_Max","Turbine reactive power setpoint","VAr","Maximum","Double","10 minute tag"
"2244","WTUR.DmdVArSpt_10m_Min","WTUR.","DmdVArSpt_10m_Min","Turbine reactive power setpoint","VAr","Minimum","Double","10 minute tag"
"2245","WTUR.DmdVArSpt_10m_Std","WTUR.","DmdVArSpt_10m_Std","Turbine reactive power setpoint","VAr","Standard Deviation","Double","10 minute tag"
"2246","WTUR.DmdVArSptSrc_10m_Avg","WTUR.","DmdVArSptSrc_10m_Avg","Turbine reactive power setpoint soucre","VAr","Average","Double","10 minute tag"
"2247","WTUR.DmdVArSrc","WTUR.","DmdVArSrc","Turbine reactive power generation setpoint source","Enum","Live Value","Long","Live Value"
"2248","WTUR.DmdVSpt","WTUR.","DmdVSpt","Turbine Voltage setpoint","V","Setpoint","Double","Live Value"
"2249","WTUR.DmdWh","WTUR.","DmdWh","Active energy demand","Wh","Total Counter","Double","Live Value"
"2250","WTUR.DmdWh_10m_End","WTUR.","DmdWh_10m_End","Active energy demand","Wh","Endvalue","Double","10 minute tag"
"2251","WTUR.DmdWh_10m_Sum","WTUR.","DmdWh_10m_Sum","Active energy demand","Wh","Summation","Double","10 minute tag"
"2252","WTUR.DmdWh_Dly_End","WTUR.","DmdWh_Dly_End","Active energy demand","Wh","Endvalue","Double","10 minute tag"
"2253","WTUR.DmdWh_Dly_Sum","WTUR.","DmdWh_Dly_Sum","Active energy demand","Wh","Summation","Double","Daily tag"
"2254","WTUR.DmdWh_Mly_End","WTUR.","DmdWh_Mly_End","Active energy demand","Wh","Endvalue","Double","10 minute tag"
"2255","WTUR.DmdWh_Mly_Sum","WTUR.","DmdWh_Mly_Sum","Active energy demand","Wh","Summation","Double","Monthly tag"
"2256","WTUR.DmdWh_Yly_End","WTUR.","DmdWh_Yly_End","Active energy demand","Wh","Endvalue","Double","10 minute tag"
"2257","WTUR.DmdWh_Yly_Sum","WTUR.","DmdWh_Yly_Sum","Active energy demand","Wh","Summation","Double","Yearly tag"
